C#_C#_path#	showname	ATP	CO2	NADH	NADPH	net_name	Reactions#
C01399_C00124_ATP_1	1st largest ATP production	0	0	0	1	Galactose + H + Agarose + H2O + NADPH + 3 ->  + 6-Anhydro-alpha-L-galactopyranose + Pyruvate + Glycerol + 2 NADP + D-Galactose	['A00001', 'A00003', 'R10862', 'R10900', 'R10550', 'R10563', 'R03616', 'R01104']
C01399_C00124_ATP_2	2nd largest ATP production	0	0	0	0	2 H2O + Agarose -> D-Galactose	['A00001', 'A00002']
C01399_C00124_ATP_3	3rd largest ATP production	0	0	0	1	H2 + Agarose + 3 + Hydrogen peroxide + D-Glyceraldehyde ->  + Oxygen + 6-Anhydro-alpha-L-galactopyranose + L-Glyceraldehyde + NADP + D-Galactose	['A00001', 'A00003', 'R10862', 'R10900', 'R10550', 'R10616', 'R03033', 'R01098']
C01399_C00124_CO2_1	1st smallest CO2 loss	0	0	0	1	Galactose + H + Agarose + H2O + NADPH + 3 ->  + 6-Anhydro-alpha-L-galactopyranose + Pyruvate + Glycerol + 2 NADP + D-Galactose	['A00001', 'A00003', 'R10862', 'R10900', 'R10550', 'R10563', 'R03616', 'R01104']
C01399_C00124_CO2_2	2nd smallest CO2 loss	0	0	0	0	2 H2O + Agarose -> D-Galactose	['A00001', 'A00002']
C01399_C00124_CO2_3	3rd smallest CO2 loss	0	0	0	1	H2 + Agarose + 3 + Hydrogen peroxide + D-Glyceraldehyde ->  + Oxygen + 6-Anhydro-alpha-L-galactopyranose + L-Glyceraldehyde + NADP + D-Galactose	['A00001', 'A00003', 'R10862', 'R10900', 'R10550', 'R10616', 'R03033', 'R01098']
C01399_C00124_NADH_1	1st largest NADH production	0	0	0	1	Galactose + H + Agarose + H2O + NADPH + 3 ->  + 6-Anhydro-alpha-L-galactopyranose + Pyruvate + Glycerol + 2 NADP + D-Galactose	['A00001', 'A00003', 'R10862', 'R10900', 'R10550', 'R10563', 'R03616', 'R01104']
C01399_C00124_NADH_2	2nd largest NADH production	0	0	0	0	2 H2O + Agarose -> D-Galactose	['A00001', 'A00002']
C01399_C00124_NADH_3	3rd largest NADH production	0	0	0	1	H2 + Agarose + 3 + Hydrogen peroxide + D-Glyceraldehyde ->  + Oxygen + 6-Anhydro-alpha-L-galactopyranose + L-Glyceraldehyde + NADP + D-Galactose	['A00001', 'A00003', 'R10862', 'R10900', 'R10550', 'R10616', 'R03033', 'R01098']
C01399_C00124_NADPH_1	1st largest NADPH production	0	0	0	1	Galactose + H + Agarose + H2O + NADPH + 3 ->  + 6-Anhydro-alpha-L-galactopyranose + Pyruvate + Glycerol + 2 NADP + D-Galactose	['A00001', 'A00003', 'R10862', 'R10900', 'R10550', 'R10563', 'R03616', 'R01104']
